Date,Open,High,Low,Close,Volume%,Volume,Weighted_bitcoin_price,Address,generatedCoin,Mining_Difficulty,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA,Lable
15/09/2016,610.59,611.09,607.16,607.16,0.1,97643.02135,609,494413,1925,2.26E+11,3.82,469429.3194,1318.11,43.91,1.1244,10277,21820,609.03,606.70,606.73,607.16
16/09/2016,607.25,609.26,606.73,606.97,-0.43,106926.8373,607.55,474551,1738,2.26E+11,3.82,435531.4136,1310.13,43.03,1.1155,10414,20588,608.27,607.61,609.04,606.97
17/09/2016,607.22,607.86,605.19,605.98,0.31,61231.04062,606.56,509415,2038,2.26E+11,3.81,411637.7953,1310.13,43.03,1.1155,9034,17201,606.70,608.36,611.07,605.98
18/09/2016,606.28,610.16,605.86,609.87,0.12,80059.53556,608.04,463470,1813,2.26E+11,3.94,438535.533,1303.55,43.3,1.1175,9227,13717,607.61,609.14,611.85,609.87
19/09/2016,609.87,610.93,608.27,609.23,0.33,89893.53151,609.57,505154,1663,2.26E+11,3.97,404639.7985,1313.02,43.3,1.1175,9584,13913,608.36,604.90,611.89,609.23
20/09/2016,609.25,609.53,607.94,608.31,0.15,119440.9882,608.76,533341,1888,2.26E+11,3.84,589390.625,1314.72,43.44,1.1151,9873,26427,609.14,600.59,612.00,608.31
21/09/2016,603.59,603.59,595.88,597.15,-0.19,137948.8376,600.05,514307,2075,2.26E+11,3.84,1003408.854,1327.26,45.34,1.1189,9285,18606,604.90,598.76,611.12,597.15
22/09/2016,597.28,598.49,596.21,596.3,-0.24,112357.5125,597.07,496593,1763,2.26E+11,3.82,378329.8429,1338.24,46.32,1.1208,9903,18260,600.59,600.59,609.90,596.3
23/09/2016,596.2,603.21,595.79,602.84,-0.31,85181.23134,599.51,488936,1700,2.26E+11,3.79,414868.0739,1339.51,44.48,1.1226,8100,19726,598.76,602.10,608.34,602.84
24/09/2016,602.96,604.58,602.04,602.63,-0.04,58634.44159,603.05,473858,2075,2.26E+11,3.82,554560.2094,1339.51,44.48,1.1226,8840,17748,600.59,603.83,606.99,602.63
25/09/2016,602.75,603.38,599.71,600.83,0.73,56472.48492,601.67,465836,2313,2.41E+11,3.8,405434.2105,1343.2,45.93,1.1254,7642,17984,602.10,605.01,605.48,600.83
26/09/2016,600.81,608.14,600.35,608.04,-0.17,97883.27569,604.33,540295,1913,2.41E+11,3.83,560900.7833,1337.85,45.93,1.1254,9531,20210,603.83,606.31,605.56,608.04
27/09/2016,608.02,608.25,604.11,606.17,-0.01,81469.07556,606.64,549579,2088,2.41E+11,3.86,449287.5648,1332.48,44.67,1.1215,8507,20912,605.01,605.53,605.43,606.17
