Date,Open,High,Low,Close,Volume,Weighted_bitcoin_price,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum,Lable
11/10/2017,4789.25,4873.73,4751.63,4826.48,254097.9895,4810.27,8526573572,780257,1738,292320,1.12E+12,10.34,951934,50.78,1130171.327,1292.67,56.74,1.1859,31418,68320,1772576.918,4826.48
12/10/2017,4829.58,5446.91,4822,5446.91,543500.7568,5136.35,10123982390,783622,1913,293011,1.12E+12,9.54,913589,55.5,6150792.649,1294.05,56.74,1.183,45338,106779,1971046.052,5446.91
13/10/2017,5464.16,5840.3,5436.85,5647.21,645952.4907,5597.13,11090438351,819164,1700,309683,1.12E+12,10.56,951668,59.2,6032500,1298.8,51.45,1.182,53804,99372,1981450.913,5647.21
14/10/2017,5643.53,5837.7,5591.64,5831.79,291474.5686,5726.16,8609274118,796789,1763,292999,1.12E+12,10.22,948577,62.04,5046840.49,1298.8,51.45,1.182,40825,83670,1503498.7,5831.79
15/10/2017,5835.96,5852.48,5478.61,5678.19,345987.1616,5711.31,7446786245,826707,2438,283278,1.20E+12,7.38,831307,65.56,6924039.048,1304.63,51.87,1.1796,37131,93320,1303866.581,5678.19
16/10/2017,5687.57,5776.23,5544.21,5725.59,353321.958,5683.4,10922696656,850054,2175,314551,1.20E+12,8.27,842648,64.84,3091116.595,1298.68,51.87,1.1796,41339,77238,1921859.566,5725.59
17/10/2017,5741.58,5800.35,5472.72,5605.51,322114.4409,5655.04,15909146587,873937,2050,334274,1.20E+12,8.78,900580,61.92,3316586.047,1289.47,51.88,1.1766,37203,80151,2813268.622,5605.51
18/10/2017,5603.82,5603.82,5151.44,5590.69,437229.3616,5487.44,11618283837,818815,1888,329428,1.20E+12,9.31,921476,58.96,4814602.985,1283.07,52.04,1.1787,34385,71392,2117250.273,5590.69
19/10/2017,5583.74,5744.35,5531.06,5708.52,315591.1519,5641.92,10798365344,910174,2225,356807,1.20E+12,8.3,905913,60.14,2676139.142,1285.91,51.29,1.1852,34379,85571,1913952.226,5708.52
20/10/2017,5708.11,6060.11,5627.23,6011.45,402348.3612,5851.72,11141964881,850258,2238,312230,1.20E+12,8.01,900102,60.14,2503192.551,1284.98,51.47,1.1784,39782,94627,1904049.558,6011.45
21/10/2017,5996.79,6194.88,5965.07,6031.6,364986.06,6047.08,9483834654,805473,1913,312104,1.20E+12,9.45,931460,58.96,2366061.872,1284.98,51.47,1.1784,44661,66998,1568332.923,6031.6
22/10/2017,6036.66,6076.26,5792.34,6008.42,340329.0528,5978.42,8860299885,981728,2275,288949,1.20E+12,7.88,930611,57.54,1681984.706,1280.73,51.9,1.1749,40331,74513,1482047.077,6008.42
23/10/2017,6006,6075.59,5732.47,5930.32,404615.8468,5936.1,17588508225,877356,2138,315925,1.20E+12,8.41,903732,55.33,3204681.149,1279.06,51.9,1.1749,46345,86442,2962973.707,5930.32
24/10/2017,5935.52,5935.52,5504.18,5526.64,477813.1308,5725.46,15351769259,957976,2088,338707,1.20E+12,8.66,969916,55.83,3578523.948,1278.02,52.47,1.1761,43756,74472,2681316.306,5526.64
