Date,Bitcoin
2018/1/8,87562
2018/1/9,91854
2018/1/10,99815
2018/1/11,88028
2018/1/12,75933
2018/1/13,65514
2018/1/14,57507
2018/1/15,63876
2018/1/16,74029
2018/1/17,89187
2018/1/18,70655
2018/1/19,58273
2018/1/20,50979
2018/1/21,47043
2018/1/22,53460
2018/1/23,48401
2018/1/24,50792
2018/1/25,53599
2018/1/26,45074
2018/1/27,39103
2018/1/28,39525
2018/1/29,41255
2018/1/30,39961
2018/1/31,44012
2018/2/1,47413
2018/2/2,52986
2018/2/3,44264
2018/2/4,42910
2018/2/5,56614
2018/2/6,57917
2018/2/7,42782
2018/2/8,40473
2018/2/9,40043
2018/2/10,33655
2018/2/11,33358
2018/2/12,42788
2018/2/13,37817
2018/2/14,34123
2018/2/15,36704
2018/2/16,31048
2018/2/17,28385
2018/2/18,26705
2018/2/19,26856
2018/2/20,38980
2018/2/21,24746
2018/2/22,23720
2018/2/23,20187
2018/2/24,18489
2018/2/25,23615
2018/2/26,24751
2018/2/27,27708
2018/2/28,23812
2018/3/1,19703
2018/3/2,28651
2018/3/3,17645
2018/3/4,17668
2018/3/5,18631
2018/3/6,31665
2018/3/7,25862
2018/3/8,18247
2018/3/9,18272
2018/3/10,15591
2018/3/11,20093
2018/3/12,21664
2018/3/13,20618
2018/3/14,18965
2018/3/15,19632
2018/3/16,17650
2018/3/17,14444
2018/3/18,16792
2018/3/19,28645
2018/3/20,22021
2018/3/21,26294
2018/3/22,32044
2018/3/23,26204
2018/3/24,14517
2018/3/25,12644
2018/3/26,25896
2018/3/27,20067
2018/3/28,25001
2018/3/29,17879
2018/3/30,18396
2018/3/31,12176
2018/4/1,13807
2018/4/2,18749
2018/4/3,18075
2018/4/4,20736
2018/4/5,20691
2018/4/6,18699
2018/4/7,17621
2018/4/8,17800
2018/4/9,14955
2018/4/10,18262
2018/4/11,14757
2018/4/12,16972
2018/4/13,15121
2018/4/14,12104
2018/4/15,12138
2018/4/16,15892
2018/4/17,17430
2018/4/18,16359
2018/4/19,15434
2018/4/20,15265
2018/4/21,15777
2018/4/22,20387
2018/4/23,26439
2018/4/24,21433
2018/4/25,18712
2018/4/26,19884
2018/4/27,13783
2018/4/28,10957
2018/4/29,11142
2018/4/30,13297
2018/5/1,13367
2018/5/2,13918
2018/5/3,12766
2018/5/4,13967
2018/5/5,12000
2018/5/6,13003
2018/5/7,16273
2018/5/8,18612
2018/5/9,16114
2018/5/10,16700
2018/5/11,14754
2018/5/12,12808
2018/5/13,12482
2018/5/14,14094
2018/5/15,14494
