Date,Block_size
2015-02-25 00:00:00 UTC,355796
2015-02-26 00:00:00 UTC,364037
2015-02-27 00:00:00 UTC,375609
2015-02-28 00:00:00 UTC,442107
2015-03-01 00:00:00 UTC,394733
2015-03-02 00:00:00 UTC,408546
2015-03-03 00:00:00 UTC,406339
2015-03-04 00:00:00 UTC,401708
2015-03-05 00:00:00 UTC,476900
2015-03-06 00:00:00 UTC,391680
2015-03-07 00:00:00 UTC,387501
2015-03-08 00:00:00 UTC,351908
2015-03-09 00:00:00 UTC,446214
2015-03-10 00:00:00 UTC,400507
2015-03-11 00:00:00 UTC,407319
2015-03-12 00:00:00 UTC,461841
2015-03-13 00:00:00 UTC,373348
2015-03-14 00:00:00 UTC,394161
2015-03-15 00:00:00 UTC,350268
2015-03-16 00:00:00 UTC,430460
2015-03-17 00:00:00 UTC,411492
2015-03-18 00:00:00 UTC,377622
2015-03-19 00:00:00 UTC,457138
2015-03-20 00:00:00 UTC,408022
2015-03-21 00:00:00 UTC,345467
2015-03-22 00:00:00 UTC,390492
2015-03-23 00:00:00 UTC,416136
2015-03-24 00:00:00 UTC,292805
2015-03-25 00:00:00 UTC,312554
2015-03-26 00:00:00 UTC,368037
2015-03-27 00:00:00 UTC,301105
2015-03-28 00:00:00 UTC,341894
2015-03-29 00:00:00 UTC,352724
2015-03-30 00:00:00 UTC,415471
2015-03-31 00:00:00 UTC,400421
2015-04-01 00:00:00 UTC,469370
2015-04-02 00:00:00 UTC,367188
2015-04-03 00:00:00 UTC,409841
2015-04-04 00:00:00 UTC,340018
2015-04-05 00:00:00 UTC,377984
2015-04-06 00:00:00 UTC,468922
2015-04-07 00:00:00 UTC,394002
2015-04-08 00:00:00 UTC,462383
2015-04-09 00:00:00 UTC,439197
2015-04-10 00:00:00 UTC,375338
2015-04-11 00:00:00 UTC,392245
2015-04-12 00:00:00 UTC,371313
2015-04-13 00:00:00 UTC,414068
2015-04-14 00:00:00 UTC,396372
2015-04-15 00:00:00 UTC,448383
2015-04-16 00:00:00 UTC,365164
2015-04-17 00:00:00 UTC,422755
2015-04-18 00:00:00 UTC,368047
2015-04-19 00:00:00 UTC,367780
2015-04-20 00:00:00 UTC,392346
2015-04-21 00:00:00 UTC,381147
2015-04-22 00:00:00 UTC,393257
2015-04-23 00:00:00 UTC,457809
2015-04-24 00:00:00 UTC,493347
2015-04-25 00:00:00 UTC,328687
2015-04-26 00:00:00 UTC,378717
2015-04-27 00:00:00 UTC,436452
2015-04-28 00:00:00 UTC,386088
2015-04-29 00:00:00 UTC,495054
2015-04-30 00:00:00 UTC,438464
2015-05-01 00:00:00 UTC,338625
2015-05-02 00:00:00 UTC,371400
2015-05-03 00:00:00 UTC,345819
2015-05-04 00:00:00 UTC,437795
2015-05-05 00:00:00 UTC,385759
2015-05-06 00:00:00 UTC,363294
2015-05-07 00:00:00 UTC,420890
2015-05-08 00:00:00 UTC,399740
2015-05-09 00:00:00 UTC,381327
2015-05-10 00:00:00 UTC,422315
2015-05-11 00:00:00 UTC,393459
2015-05-12 00:00:00 UTC,402724
2015-05-13 00:00:00 UTC,355236
2015-05-14 00:00:00 UTC,339279
2015-05-15 00:00:00 UTC,370003
2015-05-16 00:00:00 UTC,389019
2015-05-17 00:00:00 UTC,311851
2015-05-18 00:00:00 UTC,375255
2015-05-19 00:00:00 UTC,450350
2015-05-20 00:00:00 UTC,390349
2015-05-21 00:00:00 UTC,334344
2015-05-22 00:00:00 UTC,412173
2015-05-23 00:00:00 UTC,433590
2015-05-24 00:00:00 UTC,398880
2015-05-25 00:00:00 UTC,425769
2015-05-26 00:00:00 UTC,419111
2015-05-27 00:00:00 UTC,437908
2015-05-28 00:00:00 UTC,452908
2015-05-29 00:00:00 UTC,422255
2015-05-30 00:00:00 UTC,480065
2015-05-31 00:00:00 UTC,379710
2015-06-01 00:00:00 UTC,531085
2015-06-02 00:00:00 UTC,468842
2015-06-03 00:00:00 UTC,471854
2015-06-04 00:00:00 UTC,432630
2015-06-05 00:00:00 UTC,421891
2015-06-06 00:00:00 UTC,287493
2015-06-07 00:00:00 UTC,356153
2015-06-08 00:00:00 UTC,372259
2015-06-09 00:00:00 UTC,419617
2015-06-10 00:00:00 UTC,490487
2015-06-11 00:00:00 UTC,459192
2015-06-12 00:00:00 UTC,479208
2015-06-13 00:00:00 UTC,375147
2015-06-14 00:00:00 UTC,407007
2015-06-15 00:00:00 UTC,512932
2015-06-16 00:00:00 UTC,573776
2015-06-17 00:00:00 UTC,511237
2015-06-18 00:00:00 UTC,484418
2015-06-19 00:00:00 UTC,515909
2015-06-20 00:00:00 UTC,440191
2015-06-21 00:00:00 UTC,459852
2015-06-22 00:00:00 UTC,589238
2015-06-23 00:00:00 UTC,521623
2015-06-24 00:00:00 UTC,385565
2015-06-25 00:00:00 UTC,358829
2015-06-26 00:00:00 UTC,416877
2015-06-27 00:00:00 UTC,485408
2015-06-28 00:00:00 UTC,412737
2015-06-29 00:00:00 UTC,487113
2015-06-30 00:00:00 UTC,598434
2015-07-01 00:00:00 UTC,634471
2015-07-02 00:00:00 UTC,476935
2015-07-03 00:00:00 UTC,430265
2015-07-04 00:00:00 UTC,388086
2015-07-05 00:00:00 UTC,442218
2015-07-06 00:00:00 UTC,507758
2015-07-07 00:00:00 UTC,769014
2015-07-08 00:00:00 UTC,737151
2015-07-09 00:00:00 UTC,744733
2015-07-10 00:00:00 UTC,644446
