Date,Open,High,Low,Close,Weighted_bitcoin_price,Volume,Address,Mining_Difficulty,Weighted_litecoin_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,Lable
23/05/2016,439.35,444.35,438.82,444.15,441.67,114525.5508,516632,1.94E+11,3.94,48.08,1.122,8706,25025,442.22,445.98
24/05/2016,444.29,447.1,443.93,445.98,445.32,147720.9647,515910,1.99E+11,3.96,48.62,1.1141,8943,25558,443.15,449.6
25/05/2016,446.06,450.3,446.06,449.6,448,145604.9107,492139,1.99E+11,4,49.56,1.1155,8226,25514,446.58,453.38
26/05/2016,449.67,453.64,447.9,453.38,451.15,144527.984,460231,1.99E+11,4.06,49.48,1.1194,8012,25096,449.65,473.46
27/05/2016,453.52,478.15,453.52,473.46,464.66,354627.0219,529637,1.99E+11,4.34,49.33,1.1115,7843,22418,458.81,530.04
28/05/2016,473.03,533.47,472.7,530.04,502.31,360731.4368,482086,1.99E+11,4.64,49.33,1.1115,7516,20785,485.63,526.23
29/05/2016,527.48,553.96,512.18,526.23,529.96,280657.0156,427912,1.99E+11,4.69,49.6,1.1138,7165,21179,509.91,533.86
30/05/2016,528.47,544.35,522.96,533.86,532.41,165208.5874,548662,1.99E+11,4.65,49.6,1.1138,12745,23116,530.04,531.39
31/05/2016,534.19,546.62,520.66,531.39,533.21,259653.7949,477711,1.99E+11,4.67,49.1,1.1132,13783,22168,530.49,536.92
1/06/2016,531.11,543.08,525.64,536.92,534.19,161107.0967,508356,1.99E+11,4.7,33.97,1.1188,10917,24322,534.06,537.97
2/06/2016,536.52,540.35,533.08,537.97,536.98,112440.3144,478409,1.99E+11,4.72,33.97,1.1151,9668,25664,535.43,569.19
3/06/2016,537.68,574.64,536.92,569.19,554.61,220010.4578,496183,1.99E+11,4.79,37.75,1.1367,9507,25989,548.03,572.73
4/06/2016,569.71,590.13,564.24,572.73,574.2,165317.4782,447527,1.99E+11,4.84,37.75,1.1367,7824,22507,559.96,574.98
5/06/2016,573.31,582.81,569.18,574.98,575.07,119766.4563,463369,1.99E+11,4.81,44.66,1.1355,11299,24256,572.3,585.54
6/06/2016,574.6,586.47,574.6,585.54,580.3,124313.107,511064,1.99E+11,4.89,49.69,1.1355,10305,25168,577.75,576.6
7/06/2016,585.45,590.26,567.51,576.6,579.96,185823.1602,510791,1.99E+11,4.85,47.43,1.1358,9828,25479,579.04,581.65
8/06/2016,577.17,582.84,573.13,581.65,578.7,138700.1901,482261,1.99E+11,4.75,47.43,1.1395,9526,25213,581.26,574.63
9/06/2016,582.2,582.2,570.95,574.63,577.5,123464.9351,525140,1.96E+11,4.73,44.83,1.1316,9328,23455,577.63,577.47
10/06/2016,575.84,579.13,573.33,577.47,576.44,116216.6054,506021,1.96E+11,4.79,50.44,1.1251,8527,23436,577.92,606.73
11/06/2016,578.67,607.12,578.67,606.73,592.8,138928.8124,466112,1.96E+11,4.94,50.44,1.1251,7960,20546,586.28,672.78
12/06/2016,609.68,684.84,607.04,672.78,643.58,430536.9837,519556,1.96E+11,5.23,50.93,1.1292,8817,25917,618.99,704.38
13/06/2016,671.65,716,664.49,704.38,689.13,353046.6066,577587,1.96E+11,5.35,48.88,1.1292,12454,27242,661.3,685.56
14/06/2016,704.5,704.5,662.8,685.56,689.34,270830.0693,526645,1.96E+11,5.23,48.49,1.1207,10859,23970,687.57,694.47
15/06/2016,685.68,696.3,672.56,694.47,687.25,144378.0284,594513,1.96E+11,5.2,48.01,1.126,10005,24561,694.8,766.31
16/06/2016,696.52,773.72,696.52,766.31,733.27,370441.9709,582328,1.96E+11,5.46,46.21,1.1225,10618,26795,715.45,748.91
17/06/2016,768.49,775.36,716.56,748.91,752.33,482927.694,586166,1.96E+11,5.62,47.98,1.1277,10851,26724,736.56,756.23
18/06/2016,748.76,777.99,733.93,756.23,754.23,335067.5523,561728,1.96E+11,5.59,47.98,1.1277,8859,20862,757.15,763.78
19/06/2016,756.69,766.62,745.63,763.78,758.18,179620.9238,514944,1.96E+11,5.57,49.37,1.1314,9315,20799,756.31,737.23
20/06/2016,763.93,764.08,732.73,737.23,749.49,232839.675,563282,1.96E+11,5.46,49.37,1.1314,11896,27198,752.41,666.65
21/06/2016,735.88,735.88,639.07,666.65,694.37,446367.2106,592437,2.09E+11,5.02,48.85,1.1242,11977,27064,722.55,596.12
22/06/2016,665.91,678.67,587.48,596.12,632.04,421481.2227,546794,2.09E+11,4.38,49.13,1.1296,9837,25119,666.67,623.98
23/06/2016,597.44,629.33,558.14,623.98,602.22,420879.4128,549165,2.09E+11,3.8,50.11,1.1385,9912,24183,628.92,665.3
24/06/2016,625.58,681.73,625.27,665.3,649.47,345384.686,547545,2.09E+11,4.08,47.64,1.1117,19135,26403,628.47,665.12
25/06/2016,665.28,691.73,646.56,665.12,667.17,189840.6703,529844,2.09E+11,4.22,47.64,1.1117,12669,20205,651.47,629.37
26/06/2016,665.93,665.98,616.93,629.37,644.55,169459.3127,501782,2.09E+11,4.13,46.33,1.1025,8292,20500,653.26,655.28
27/06/2016,629.35,655.28,620.52,655.28,640.11,190801.581,483625,2.09E+11,4.09,46.33,1.1025,11629,23913,649.92,647
28/06/2016,658.1,659.25,637.77,647,650.53,212726.5337,541226,2.09E+11,4.12,47.85,1.1065,10003,23816,643.88,639.89
29/06/2016,644.12,644.68,628.28,639.89,639.24,222852.1369,466288,2.09E+11,4.07,49.88,1.1125,10158,23872,647.39,673.34
30/06/2016,640.59,675.4,636.61,673.34,656.48,211704.8501,506973,2.09E+11,4.13,48.33,1.1106,9599,23132,653.41,676.3
1/07/2016,672.52,686.15,669.59,676.3,676.14,198821.2619,494905,2.09E+11,4.24,33.27,1.1136,8764,23027,663.18,703.7
2/07/2016,676.73,703.7,676.4,703.7,690.13,162801.2114,446260,2.09E+11,4.43,33.27,1.1136,7717,23595,684.45,658.66
3/07/2016,704.97,704.97,649.01,658.66,679.4,190627.0238,429466,2.09E+11,4.44,37.9,1.1154,8615,20287,679.55,683.66
4/07/2016,658.8,683.66,650.51,683.66,669.16,137498.3561,504550,2.13E+11,4.39,37.26,1.1154,9364,21181,682.01,670.63
5/07/2016,683.21,683.49,665.07,670.63,675.6,193126.1101,488121,2.13E+11,4.48,37.26,1.1076,9447,22046,670.98,677.33
6/07/2016,670.42,681.9,670.42,677.33,675.02,199936.2863,465240,2.13E+11,4.46,50.36,1.11,9129,23770,677.21,640.56
7/07/2016,678.09,682.43,611.83,640.56,653.23,395099.7474,467526,2.13E+11,4.27,45.14,1.1063,9574,23909,662.84,666.52
8/07/2016,640.69,666.71,636.47,666.52,652.6,217545.2038,463200,2.13E+11,4.16,45.14,1.1051,8771,23469,661.47,650.96
9/07/2016,666.38,666.38,633.4,650.96,654.28,275930.7942,438235,2.13E+11,4.15,45.5,1.1051,8843,25041,652.68,649.36
10/07/2016,650.6,652.29,641.26,649.36,648.38,158135.6612,400076,2.13E+11,4.11,49.81,1.1058,10305,20364,655.61,647.66
11/07/2016,648.48,659.63,644.98,647.66,650.19,165966.8712,492779,2.13E+11,4.12,44.89,1.1058,10443,22699,649.33,664.55
12/07/2016,648.28,675.26,646.78,664.55,658.72,209759.8251,476759,2.13E+11,4.14,49.77,1.1061,10146,22223,653.86,654.47
13/07/2016,664.8,668.7,654.47,654.47,660.61,198981.2446,452818,2.13E+11,4.15,44.75,1.109,10027,22998,655.56,658.08
14/07/2016,652.92,662.9,652.92,658.08,656.7,150009.7457,475270,2.13E+11,4.15,45.68,1.112,9109,21544,659.03,663.26
15/07/2016,659.17,667.08,659.04,663.26,662.14,123347.1834,452552,2.13E+11,4.16,45.95,1.1035,8596,20434,658.6,660.77
16/07/2016,663.78,666.46,659.33,660.77,662.58,75960.94057,467772,2.13E+11,4.14,45.95,1.1035,7157,18987,660.7,679.46
17/07/2016,661.99,682.36,661.99,679.46,671.45,110816.7458,434166,2.13E+11,4.17,45.24,1.1075,8148,19456,667.83,673.11
18/07/2016,679.81,681.55,668.63,673.11,675.78,102792.3289,496566,2.13E+11,4.17,45.24,1.1075,8920,21330,671.11,672.86
19/07/2016,672.74,673.28,667.63,672.86,671.63,91126.51311,468926,2.13E+11,4.15,44.65,1.1021,8270,23226,675.14,665.68
20/07/2016,672.81,672.93,663.36,665.68,668.7,141522.955,477671,2.13E+11,4.14,44.94,1.1015,8357,22621,670.55,665.01
21/07/2016,665.23,666.22,660.41,665.01,664.22,91071.934,446246,2.13E+11,4.12,44.75,1.1026,8658,20837,667.85,650.62
