Date,Open,High,Low,Close,Volume,Market Cap, 3d MA,9d MA,15d MA
2016/8/9,591.04,591.09,584.79,587.8,92228096,9289374235,590.5133333,589.6733333,608.708
2016/8/10,587.65,599.98,586.37,592.1,102905000,9358441335,590.3166667,589.5933333,604.7293333
2016/8/11,592.12,597.54,589.12,589.12,74514400,9312340020,589.6733333,587.4233333,600.3806667
2016/8/12,588.8,589.91,583.81,587.56,69218000,9288722581,589.5933333,581.2066667,595.8826667
2016/8/13,587.36,589.77,584.98,585.59,43563000,9258715472,587.4233333,574.4333333,591.1226667
2016/8/14,585.59,585.67,564.78,570.47,60851100,9020848475,581.2066667,571.7166667,585.484
2016/8/15,570.49,573.58,563.24,567.24,57262300,8970719083,574.4333333,572.6333333,581.6546667
2016/8/16,567.24,581.74,566.72,577.44,58405200,9132941526,571.7166667,574.9933333,579.7326667
2016/8/17,577.76,580.89,571.43,573.22,54443000,9066995409,572.6333333,574.39,581.4493333
2016/8/18,573.71,577.79,573.43,574.32,59896600,9085487925,574.9933333,577.2166667,581.9806667
2016/8/19,574.34,578.24,574.18,575.63,50631600,9107313927,574.39,579.5466667,581.8033333
2016/8/20,576.08,582.82,575.46,581.7,45301400,9204384754,577.2166667,583.2533333,582.2473333
2016/8/21,581.94,584.16,580.22,581.31,38299400,9199366517,579.5466667,583.8233333,581.816
2016/8/22,581.31,588.45,580.59,586.75,72844000,9286647694,583.2533333,583.4466667,581.42
2016/8/23,586.77,589.47,581.63,583.41,85349200,9234845697,583.8233333,580.45,580.9106667
2016/8/24,583.41,583.59,579.85,580.18,56328200,9184728961,583.4466667,579.1966667,580.4026667
2016/8/25,580.18,580.45,575.17,577.76,136130000,9147297036,580.45,575.7866667,579.4466667
2016/8/26,577.75,580.62,576.86,579.65,48856800,9178145243,579.1966667,574.5033333,578.8153333
2016/8/27,579.45,579.84,568.63,569.95,59698300,9025464112,575.7866667,572.6566667,577.6413333
2016/8/28,569.83,574.04,569.74,573.91,86301600,9089312935,574.5033333,575.1733333,576.8626667
2016/8/29,574.07,576.28,573.47,574.11,110398000,9093420855,572.6566667,575.6933333,577.1053333
2016/8/30,574.11,578.36,574.11,577.5,70342400,9148340524,575.1733333,575.09,577.7893333
2016/8/31,577.59,577.86,573.64,575.47,75840896,9117106217,575.6933333,574.4366667,577.658
2016/9/1,575.55,576.31,571.81,572.3,76923400,9067854884,575.09,582.0166667,577.5966667
2016/9/2,572.41,575.64,570.81,575.54,79910800,9120159589,574.4366667,594.1266667,577.678
2016/9/3,575.55,599.5,574.06,598.21,159014000,9480380026,582.0166667,604.4766667,579.1833333
2016/9/4,598.59,611.84,596.85,608.63,97942896,9646846465,594.1266667,608.5533333,580.9786667
2016/9/5,608.99,609.05,602.24,606.59,82446800,9615468145,604.4766667,610.5233333,582.664
2016/9/6,606.51,610.83,605.09,610.44,78529104,9677437248,608.5533333,617.1,584.2433333
2016/9/7,610.57,614.54,608.51,614.54,75032400,9743676240,610.5233333,621.24,586.3186667
2016/9/8,614.64,628.77,613.84,626.32,86713000,9931412644,617.1,624.23,589.3946667
2016/9/9,626.35,626.83,620.26,622.86,64550200,9877681032,621.24,617.6966667,592.4013333
2016/9/10,622.93,625.09,622.4,623.51,45016800,9889124590,624.23,612.8233333,595.3253333
2016/9/11,623.42,628.82,600.51,606.72,73610800,9624021892,617.6966667,608.0666667,597.7766667
2016/9/12,607.01,608.46,605.41,608.24,72812304,9649385919,612.8233333,609.3866667,600.0653333
2016/9/13,608.03,611.19,606.92,609.24,86920600,9666424848,608.0666667,609.0266667,602.4073333
2016/9/14,608.84,611.95,608.41,610.68,47877700,9690463177,609.3866667,608.27,604.6193333
2016/9/15,610.59,611.09,607.16,607.16,59464600,9635571708,609.0266667,606.7033333,606.732
2016/9/16,607.25,609.26,606.73,606.97,64963400,9633710359,608.27,607.6066667,609.0433333
2016/9/17,607.22,607.86,605.19,605.98,37140300,9619198525,606.7033333,608.36,611.0726667
2016/9/18,606.28,610.16,605.86,609.87,48679400,9682008337,607.6066667,609.1366667,611.85
2016/9/19,609.87,610.93,608.27,609.23,54796400,9672709264,608.36,604.8966667,611.89
2016/9/20,609.25,609.53,607.94,608.31,72710896,9659269452,609.1366667,600.5866667,612.0046667
2016/9/21,603.59,603.59,595.88,597.15,82776200,9483211005,604.8966667,598.7633333,611.1186667
2016/9/22,597.28,598.49,596.21,596.3,67085300,9470698215,600.5866667,600.59,609.9026667
2016/9/23,596.2,603.21,595.79,602.84,51067000,9575631549,598.7633333,602.1,608.3373333
2016/9/24,602.96,604.58,602.04,602.63,35359500,9573385118,600.59,603.8333333,606.9886667
2016/9/25,602.75,603.38,599.71,600.83,33977800,9546132575,602.1,605.0133333,605.4766667
2016/9/26,600.81,608.14,600.35,608.04,59153800,9661922446,603.8333333,606.3133333,605.5646667
