Date,generatedCoin
14-Jul-17,1738
15-Jul-17,1588
16-Jul-17,2038
17-Jul-17,1850
18-Jul-17,2063
19-Jul-17,1863
20-Jul-17,2025
21-Jul-17,1925
22-Jul-17,2000
23-Jul-17,2150
24-Jul-17,2225
25-Jul-17,1850
26-Jul-17,1838
27-Jul-17,1925
28-Jul-17,1875
29-Jul-17,1963
30-Jul-17,1838
31-Jul-17,1813
01-Aug-17,1863
02-Aug-17,1900
03-Aug-17,1725
04-Aug-17,2238
05-Aug-17,2213
06-Aug-17,1750
07-Aug-17,1913
08-Aug-17,2050
09-Aug-17,1725
10-Aug-17,1675
11-Aug-17,1800
12-Aug-17,1688
13-Aug-17,1850
14-Aug-17,1625
15-Aug-17,1900
16-Aug-17,1625
17-Aug-17,2238
18-Aug-17,1863
19-Aug-17,1888
20-Aug-17,1625
21-Aug-17,1438
22-Aug-17,1113
23-Aug-17,1987
24-Aug-17,1263
25-Aug-17,1263
26-Aug-17,1313
27-Aug-17,1938
28-Aug-17,1613
29-Aug-17,1863
30-Aug-17,2100
31-Aug-17,2038
01-Sep-17,2175
02-Sep-17,2050
03-Sep-17,1925
04-Sep-17,2188
05-Sep-17,2463
06-Sep-17,2025
07-Sep-17,2200
08-Sep-17,2188
09-Sep-17,2113
10-Sep-17,1725
11-Sep-17,2175
12-Sep-17,2350
13-Sep-17,2375
14-Sep-17,2175
15-Sep-17,2250
16-Sep-17,2113
17-Sep-17,2200
18-Sep-17,1588
19-Sep-17,1950
20-Sep-17,1463
21-Sep-17,2200
22-Sep-17,1738
23-Sep-17,2075
24-Sep-17,1813
25-Sep-17,1563
26-Sep-17,1725
27-Sep-17,1838
28-Sep-17,2213
29-Sep-17,2113
30-Sep-17,1725
01-Oct-17,1625
02-Oct-17,1875
03-Oct-17,2288
04-Oct-17,1675
05-Oct-17,1563
06-Oct-17,1988
07-Oct-17,1975
08-Oct-17,2275
09-Oct-17,2013
10-Oct-17,2000
11-Oct-17,1738
12-Oct-17,1913
13-Oct-17,1700
14-Oct-17,1763
15-Oct-17,2438
16-Oct-17,2175
17-Oct-17,2050
18-Oct-17,1888
19-Oct-17,2225
20-Oct-17,2238
21-Oct-17,1913
22-Oct-17,2275
23-Oct-17,2138
24-Oct-17,2088
25-Oct-17,2313
26-Oct-17,2250
27-Oct-17,1300
28-Oct-17,1063
29-Oct-17,1925
30-Oct-17,1838
31-Oct-17,1725
01-Nov-17,1950
02-Nov-17,1875
03-Nov-17,1488
04-Nov-17,1625
05-Nov-17,1763
06-Nov-17,1663
07-Nov-17,1950
08-Nov-17,1800
09-Nov-17,1913
10-Nov-17,1500
11-Nov-17,1000
12-Nov-17,1000
13-Nov-17,1750
14-Nov-17,1600
15-Nov-17,1900
16-Nov-17,1900
17-Nov-17,2088
18-Nov-17,1700
19-Nov-17,2000
20-Nov-17,2188
21-Nov-17,2163
22-Nov-17,1850
23-Nov-17,1963
24-Nov-17,1863
25-Nov-17,1950
26-Nov-17,1913
27-Nov-17,2125
28-Nov-17,1950
29-Nov-17,2162
30-Nov-17,2088
01-Dec-17,2288
02-Dec-17,2013
03-Dec-17,2200
04-Dec-17,2263
05-Dec-17,2225
06-Dec-17,2350
07-Dec-17,1900
08-Dec-17,1950
09-Dec-17,2175
10-Dec-17,2050
11-Dec-17,2138
12-Dec-17,1950
13-Dec-17,2325
14-Dec-17,2313
15-Dec-17,2112
16-Dec-17,2138
17-Dec-17,2313
18-Dec-17,2275
19-Dec-17,1750
20-Dec-17,1700
21-Dec-17,1650
22-Dec-17,1938
23-Dec-17,1738
24-Dec-17,1900
25-Dec-17,1688
26-Dec-17,1775
27-Dec-17,1950
28-Dec-17,1863
29-Dec-17,2063
30-Dec-17,1825
31-Dec-17,2038
01-Jan-18,1950
02-Jan-18,2138
03-Jan-18,1963
04-Jan-18,2100
05-Jan-18,1787
06-Jan-18,2100
07-Jan-18,2025
08-Jan-18,2075
09-Jan-18,2050
10-Jan-18,2075
11-Jan-18,2413
12-Jan-18,2225
13-Jan-18,1863
14-Jan-18,1938
15-Jan-18,1875
16-Jan-18,1988
17-Jan-18,2088
18-Jan-18,2163
19-Jan-18,2063
20-Jan-18,2225
21-Jan-18,2338
22-Jan-18,2088
23-Jan-18,2213
24-Jan-18,2200
25-Jan-18,1975
26-Jan-18,1938
27-Jan-18,1963
28-Jan-18,1975
29-Jan-18,1850
30-Jan-18,2088
31-Jan-18,1463
01-Feb-18,2000
02-Feb-18,2100
03-Feb-18,1975
04-Feb-18,2225
05-Feb-18,2312
06-Feb-18,2125
07-Feb-18,1763
08-Feb-18,1638
09-Feb-18,1688
10-Feb-18,1788
11-Feb-18,1888
12-Feb-18,2075
13-Feb-18,2050
14-Feb-18,2238
15-Feb-18,1638
16-Feb-18,1963
17-Feb-18,1863
18-Feb-18,2025
19-Feb-18,2025
20-Feb-18,1763
21-Feb-18,2113
22-Feb-18,1863
23-Feb-18,1850
24-Feb-18,1813
25-Feb-18,2138
26-Feb-18,1763
27-Feb-18,2000
28-Feb-18,1937
01-Mar-18,2063
02-Mar-18,1950
03-Mar-18,2250
04-Mar-18,1850
05-Mar-18,1863
06-Mar-18,1950
07-Mar-18,1963
08-Mar-18,2025
09-Mar-18,1825
10-Mar-18,1750
11-Mar-18,1913
12-Mar-18,2013
13-Mar-18,1975
14-Mar-18,1800
15-Mar-18,1800
16-Mar-18,1950
17-Mar-18,1863
18-Mar-18,1888
19-Mar-18,1938
20-Mar-18,1588
21-Mar-18,1900
22-Mar-18,1788
23-Mar-18,1662
24-Mar-18,1950
25-Mar-18,1688
26-Mar-18,1875
27-Mar-18,1900
28-Mar-18,1688
29-Mar-18,1900
30-Mar-18,2025
31-Mar-18,1600
01-Apr-18,2025
02-Apr-18,1950
03-Apr-18,2038
04-Apr-18,1838
05-Apr-18,1950
06-Apr-18,1725
07-Apr-18,2250
08-Apr-18,2013
09-Apr-18,1838
10-Apr-18,2050
11-Apr-18,2013
12-Apr-18,1925
13-Apr-18,2063
14-Apr-18,1713
15-Apr-18,2038
16-Apr-18,1763
17-Apr-18,2025
18-Apr-18,2000
19-Apr-18,2225
20-Apr-18,1713
21-Apr-18,1988
22-Apr-18,2000
23-Apr-18,1913
24-Apr-18,1988
25-Apr-18,1538
26-Apr-18,1763
27-Apr-18,1775
28-Apr-18,1600
29-Apr-18,1975
30-Apr-18,1938
01-May-18,1975
02-May-18,1750
03-May-18,1888
04-May-18,1725
05-May-18,2013
06-May-18,1713
07-May-18,1875
08-May-18,1737
09-May-18,2000
10-May-18,1925
11-May-18,1588
12-May-18,2063
13-May-18,1850
14-May-18,1650
15-May-18,1825
16-May-18,2238
17-May-18,1650
18-May-18,1850
19-May-18,1925
20-May-18,1800
21-May-18,1963
22-May-18,1888
23-May-18,2025
24-May-18,1788
25-May-18,2200
26-May-18,2025
27-May-18,2050
28-May-18,1950
29-May-18,1738
30-May-18,2175
31-May-18,2125
01-Jun-18,2075
02-Jun-18,1900
03-Jun-18,2038
04-Jun-18,2288
05-Jun-18,2188
06-Jun-18,1837
07-Jun-18,1788
08-Jun-18,1806
09-Jun-18,1787
10-Jun-18,1588
11-Jun-18,1750
12-Jun-18,1813
13-Jun-18,1787
14-Jun-18,1912
15-Jun-18,1912
16-Jun-18,2075
17-Jun-18,1962
18-Jun-18,2050
19-Jun-18,1937
20-Jun-18,1937
21-Jun-18,2125
22-Jun-18,1888
23-Jun-18,2000
24-Jun-18,2137
25-Jun-18,1963
26-Jun-18,1825
27-Jun-18,1513
28-Jun-18,1963
29-Jun-18,1888
30-Jun-18,1762
01-Jul-18,1837
02-Jul-18,1763
03-Jul-18,1450
04-Jul-18,1675
05-Jul-18,1712
06-Jul-18,2000
07-Jul-18,1950
08-Jul-18,1975
09-Jul-18,1700
10-Jul-18,1862
11-Jul-18,1688
12-Jul-18,1763
13-Jul-18,1788
14-Jul-18,1663
15-Jul-18,1663
16-Jul-18,1500
17-Jul-18,1988
18-Jul-18,2175
19-Jul-18,2137
20-Jul-18,1925
21-Jul-18,1713
22-Jul-18,2275
23-Jul-18,2075
24-Jul-18,1987
25-Jul-18,2212
26-Jul-18,2063
27-Jul-18,2087
28-Jul-18,1812
29-Jul-18,2125
30-Jul-18,1675
31-Jul-18,1837
01-Aug-18,1875
02-Aug-18,1912
03-Aug-18,2075
04-Aug-18,2200
05-Aug-18,2000
06-Aug-18,1637
07-Aug-18,1888
08-Aug-18,1962
09-Aug-18,1863
10-Aug-18,2200
11-Aug-18,2125
12-Aug-18,1937
13-Aug-18,1875
14-Aug-18,1700
15-Aug-18,2012
16-Aug-18,1975
17-Aug-18,1900
18-Aug-18,2000
19-Aug-18,1812
20-Aug-18,1875
21-Aug-18,1850
22-Aug-18,2000
23-Aug-18,1862
24-Aug-18,1825
25-Aug-18,1688
26-Aug-18,2162
27-Aug-18,2312
28-Aug-18,1913
29-Aug-18,1738
30-Aug-18,1925
31-Aug-18,1937
01-Sep-18,1888
02-Sep-18,1800
03-Sep-18,1800
04-Sep-18,1575
05-Sep-18,1650
06-Sep-18,1875
07-Sep-18,1900
08-Sep-18,1875
09-Sep-18,2038
10-Sep-18,1688
11-Sep-18,1763
12-Sep-18,2100
13-Sep-18,1850
14-Sep-18,1650
15-Sep-18,1750
16-Sep-18,1737
17-Sep-18,1688
18-Sep-18,1775
19-Sep-18,1950
20-Sep-18,1925
21-Sep-18,1800
22-Sep-18,1937
23-Sep-18,1875
24-Sep-18,1850
25-Sep-18,2113
26-Sep-18,1738
27-Sep-18,1788
28-Sep-18,1925
29-Sep-18,1900
30-Sep-18,2038
01-Oct-18,1975
02-Oct-18,1713
03-Oct-18,1813
04-Oct-18,1875
05-Oct-18,1625
06-Oct-18,1563
07-Oct-18,1775
08-Oct-18,1688
09-Oct-18,1625
10-Oct-18,1800
11-Oct-18,1988
12-Oct-18,1650
13-Oct-18,1763
14-Oct-18,1425
15-Oct-18,2025
16-Oct-18,1688
17-Oct-18,1725
18-Oct-18,1725
19-Oct-18,1775
20-Oct-18,1788
21-Oct-18,1725
22-Oct-18,1938
23-Oct-18,1925
24-Oct-18,1413
25-Oct-18,1713
26-Oct-18,1788
27-Oct-18,1700
28-Oct-18,1750
29-Oct-18,1825
30-Oct-18,1925
31-Oct-18,2038
01-Nov-18,1925
02-Nov-18,1788
03-Nov-18,2012
04-Nov-18,1538
05-Nov-18,1800
06-Nov-18,1600
07-Nov-18,1625
08-Nov-18,1513
09-Nov-18,1588
10-Nov-18,1638
11-Nov-18,1825
12-Nov-18,1750
13-Nov-18,1500
14-Nov-18,1688
15-Nov-18,1587
16-Nov-18,1575
17-Nov-18,1813
18-Nov-18,1538
19-Nov-18,1575
20-Nov-18,1650
21-Nov-18,1313
22-Nov-18,1525
23-Nov-18,1563
24-Nov-18,1788
25-Nov-18,1588
26-Nov-18,1388
27-Nov-18,1638
28-Nov-18,1475
