Date,Address
01-Jun-18,692509
02-Jun-18,521910
03-Jun-18,531463
04-Jun-18,702904
05-Jun-18,655694
06-Jun-18,651145
07-Jun-18,634103
08-Jun-18,648973
09-Jun-18,492526
10-Jun-18,529728
11-Jun-18,587881
12-Jun-18,654022
13-Jun-18,658357
14-Jun-18,583318
15-Jun-18,629466
16-Jun-18,442345
17-Jun-18,436137
18-Jun-18,574922
19-Jun-18,621857
20-Jun-18,585078
21-Jun-18,562602
22-Jun-18,618791
23-Jun-18,483230
24-Jun-18,456995
25-Jun-18,614032
26-Jun-18,612977
27-Jun-18,589279
28-Jun-18,555077
29-Jun-18,589876
30-Jun-18,567603
01-Jul-18,483872
02-Jul-18,638283
03-Jul-18,659326
04-Jul-18,609579
05-Jul-18,545559
06-Jul-18,647794
07-Jul-18,473901
08-Jul-18,492262
09-Jul-18,627020
10-Jul-18,666042
11-Jul-18,616214
12-Jul-18,944272
13-Jul-18,933538
14-Jul-18,809623
15-Jul-18,509930
16-Jul-18,583692
17-Jul-18,688584
18-Jul-18,770835
19-Jul-18,636864
20-Jul-18,651803
21-Jul-18,505481
22-Jul-18,458207
23-Jul-18,711253
24-Jul-18,718928
25-Jul-18,776511
26-Jul-18,639897
27-Jul-18,717598
28-Jul-18,564178
29-Jul-18,484547
30-Jul-18,636120
31-Jul-18,690053
01-Aug-18,705913
02-Aug-18,634184
03-Aug-18,688873
04-Aug-18,542819
05-Aug-18,495719
06-Aug-18,654516
07-Aug-18,706511
08-Aug-18,649793
09-Aug-18,629986
10-Aug-18,658540
11-Aug-18,525917
12-Aug-18,477955
13-Aug-18,611815
14-Aug-18,657023
15-Aug-18,680561
16-Aug-18,620660
17-Aug-18,652818
18-Aug-18,502019
19-Aug-18,514313
20-Aug-18,623598
21-Aug-18,589708
22-Aug-18,638156
23-Aug-18,569277
24-Aug-18,632142
25-Aug-18,548608
26-Aug-18,502611
27-Aug-18,664869
28-Aug-18,663743
29-Aug-18,669404
30-Aug-18,621242
31-Aug-18,651131
01-Sep-18,564630
02-Sep-18,495998
03-Sep-18,613352
04-Sep-18,629625
05-Sep-18,664157
06-Sep-18,666558
07-Sep-18,689985
08-Sep-18,546144
09-Sep-18,506835
10-Sep-18,614057
11-Sep-18,651098
12-Sep-18,599503
13-Sep-18,608107
14-Sep-18,620772
15-Sep-18,558339
16-Sep-18,470139
17-Sep-18,631067
18-Sep-18,638235
19-Sep-18,631546
20-Sep-18,628587
21-Sep-18,715507
22-Sep-18,562522
23-Sep-18,507621
24-Sep-18,614679
25-Sep-18,648244
26-Sep-18,628119
27-Sep-18,633994
28-Sep-18,673177
29-Sep-18,552202
30-Sep-18,532067
01-Oct-18,672475
02-Oct-18,678543
03-Oct-18,694010
04-Oct-18,642395
05-Oct-18,688115
06-Oct-18,588478
07-Oct-18,598361
08-Oct-18,646076
09-Oct-18,621386
10-Oct-18,642600
11-Oct-18,686810
12-Oct-18,693363
13-Oct-18,573912
14-Oct-18,524084
15-Oct-18,699171
16-Oct-18,678723
17-Oct-18,673361
18-Oct-18,654573
19-Oct-18,685201
20-Oct-18,593963
21-Oct-18,554355
22-Oct-18,676895
23-Oct-18,683587
24-Oct-18,637741
25-Oct-18,659220
26-Oct-18,691997
27-Oct-18,580054
28-Oct-18,560480
29-Oct-18,708285
30-Oct-18,697601
31-Oct-18,707291
01-Nov-18,692504
02-Nov-18,769117
03-Nov-18,641974
04-Nov-18,619063
05-Nov-18,712976
06-Nov-18,694055
07-Nov-18,705209
08-Nov-18,700117
09-Nov-18,704879
10-Nov-18,595444
